Number of variables,Exec Time (microseconds),Target,Combo
4,8,77,[]
4,5,28,[]
4,5,58,[]
4,5,64,[]
4,3,89,[]
4,5,51,[]
4,4,31,[]
4,4,69,[]
4,5,33,[]
4,5,60,[]
4,4,91,[]
4,3,35,"[13, 1, 21]"
4,5,25,[]
4,4,43,[]
4,4,79,[]
4,5,95,[]
4,3,71,[]
4,5,17,[]
4,4,15,"[6, 9]"
4,3,26,"[14, 12]"
4,4,47,"[16, 7, 24]"
4,5,17,[]
4,5,26,"[15, 11]"
4,5,67,[]
4,4,51,"[20, 12, 19]"
4,5,43,[]
4,3,27,[]
4,4,53,[]
4,5,51,[]
4,4,2,[]
4,5,58,[]
4,3,69,[]
4,5,55,[]
4,3,1,[]
4,4,50,[]
4,5,54,[]
4,4,6,[]
4,4,72,[]
4,5,65,[]
4,5,48,[]
4,5,14,[]
4,3,27,[]
4,4,27,"[9, 18]"
4,5,72,[]
4,5,88,[]
4,4,43,[]
4,1,19,[19]
4,4,31,[]
4,4,88,[]
4,5,52,[]
4,5,71,[]
4,5,80,[]
4,5,31,[]
4,4,80,[]
4,4,73,[]
4,4,72,[]
4,5,0,[]
4,4,68,"[11, 11, 23, 23]"
4,3,92,[]
4,5,83,[]
4,5,54,"[17, 22, 5, 10]"
4,3,14,"[11, 3]"
4,4,19,"[2, 17]"
4,3,20,[20]
4,4,2,[]
4,5,39,[]
4,5,49,[]
4,4,74,[]
4,4,91,[]
4,5,79,[]
4,5,77,[]
4,4,21,[]
4,3,54,[]
4,5,42,"[13, 12, 17]"
4,4,96,[]
4,4,53,[]
4,5,17,[]
4,4,66,[]
4,4,38,[]
4,5,41,[]
4,4,47,[]
4,5,23,[]
4,3,63,[]
4,5,100,[]
4,4,40,[]
4,4,93,[]
4,5,73,[]
4,5,5,[]
4,5,18,[]
4,4,99,[]
4,4,60,[]
4,5,71,[]
4,5,47,[]
4,4,10,[]
4,3,84,[]
4,5,75,[]
4,5,79,[]
4,4,91,[]
4,5,53,[]
4,4,45,[]
4,5,845,[]
4,4,509,[]
4,5,665,[]
4,4,494,[]
4,4,566,[]
4,5,530,[]
4,4,475,[]
4,5,966,[]
4,5,280,[]
4,5,963,[]
4,4,377,[]
4,5,736,[]
4,4,902,[]
4,4,376,[]
4,5,510,[]
4,5,654,[]
4,3,550,[]
4,4,201,[]
4,4,222,[]
4,4,732,[]
4,5,664,[]
4,4,242,[]
4,5,846,[]
4,5,601,[]
4,4,991,[]
4,4,441,[]
4,5,797,[]
4,5,948,[]
4,5,187,[]
4,4,945,[]
4,4,129,[]
4,4,852,[]
4,5,429,[]
4,5,960,[]
4,4,922,[]
4,4,768,[]
4,4,690,[]
4,5,675,[]
4,5,966,[]
4,3,187,[]
4,4,144,[]
4,4,224,[]
4,5,607,[]
4,4,115,[]
4,5,228,[]
4,5,736,[]
4,3,234,[]
4,5,605,[]
4,5,728,[]
4,4,826,[]
4,5,316,[]
4,4,534,[]
4,4,715,[]
4,4,330,[]
4,5,785,[]
4,4,550,[]
4,4,473,[]
4,5,434,[]
4,3,997,[]
4,4,511,[]
4,5,709,[]
4,4,365,[]
4,4,711,[]
4,4,472,[]
4,5,234,[]
4,4,166,[]
4,4,208,[]
4,5,432,[]
4,4,107,[]
4,4,718,[]
4,4,296,[]
4,5,312,[]
4,5,278,[]
4,3,371,[]
4,5,336,[]
4,5,599,[]
4,4,989,[]
4,5,649,[]
4,4,283,[]
4,5,783,[]
4,3,789,[]
4,5,471,[]
4,5,277,[]
4,3,620,[]
4,5,364,[]
4,5,452,[]
4,4,920,[]
4,5,531,[]
4,4,181,[]
4,5,801,[]
4,3,988,[]
4,5,792,[]
4,5,556,[]
4,5,670,[]
4,5,560,[]
4,4,650,[]
4,5,488,[]
4,5,953,[]
4,5,832,[]
4,5,610,[]
4,4,1514,[]
4,4,8255,[]
4,4,7285,[]
4,5,4150,[]
4,4,8823,[]
4,4,6518,[]
4,5,2116,[]
4,4,3162,[]
4,5,7855,[]
4,5,5568,[]
4,3,1380,[]
4,5,8782,[]
4,4,8645,[]
4,4,6813,[]
4,5,5745,[]
4,5,7575,[]
4,4,2760,[]
4,4,3645,[]
4,5,3149,[]
4,4,3367,[]
4,5,8339,[]
4,5,6088,[]
4,3,2640,[]
4,5,1105,[]
4,4,1168,[]
4,4,7606,[]
4,5,4509,[]
4,5,9973,[]
4,5,2944,[]
4,4,7519,[]
4,4,1374,[]
4,5,7176,[]
4,5,1749,[]
4,4,9220,[]
4,4,3969,[]
4,5,1116,[]
4,4,4731,[]
4,4,5072,[]
4,5,3639,[]
4,3,3421,[]
4,5,7365,[]
4,5,8674,[]
4,3,6216,[]
4,5,5217,[]
4,5,8759,[]
4,4,4927,[]
4,5,2091,[]
4,4,8275,[]
4,4,7287,[]
4,5,2647,[]
4,5,5458,[]
4,4,2314,[]
4,4,6519,[]
4,5,5519,[]
4,4,6730,[]
4,5,3793,[]
4,4,8615,[]
4,5,6228,[]
4,5,3222,[]
4,4,8929,[]
4,5,2861,[]
4,5,3524,[]
4,3,1348,[]
4,5,9087,[]
4,4,5094,[]
4,4,3485,[]
4,4,3199,[]
4,5,8176,[]
4,4,6118,[]
4,4,2407,[]
4,5,2031,[]
4,3,7036,[]
4,5,2332,[]
4,5,8137,[]
4,3,6753,[]
4,5,6855,[]
4,4,7192,[]
4,4,9093,[]
4,5,1809,[]
4,5,2253,[]
4,5,9513,[]
4,4,1866,[]
4,4,3217,[]
4,5,3795,[]
4,4,7972,[]
4,5,4250,[]
4,4,5815,[]
4,5,9669,[]
4,5,4246,[]
4,3,7331,[]
4,5,1751,[]
4,5,2491,[]
4,5,6783,[]
4,4,2573,[]
4,4,3324,[]
4,5,3609,[]
4,3,9469,[]
4,5,9224,[]
4,4,7772,[]
4,5,4501,[]
9,58,47,"[5, 8, 20, 14]"
9,60,32,"[22, 10]"
9,190,89,"[9, 10, 20, 19, 17, 8, 6]"
9,148,32,[]
9,32,46,"[25, 21]"
9,31,39,"[7, 13, 19]"
9,93,80,"[10, 17, 17, 19, 17]"
9,142,12,[12]
9,120,94,"[4, 4, 16, 18, 24, 16, 12]"
9,74,61,"[24, 17, 20]"
9,106,24,"[9, 15]"
9,58,80,"[16, 11, 17, 24, 12]"
